Match,Team,Alliance,Scouter,Auto Fuel,Auto Mobility,Auto Climb,Balls/Sec,Accuracy %,Field Zone,Endgame Climb,Defense Rating,Driver Rating,Played Defense,Notes,Timestamp
1,7256,Blue,Tammy,0,No,,2,50,Both,None,2,2,No,"Only 2 shots made",2026-04-10T14:57:49.916Z
2,7220,Blue,Tammy,3167,Yes,None,30,50,Both,None,4,4,Yes,"Score for auto got stuck on . Over all good bot,",2026-04-10T15:07:43.809Z
3,10642,Blue,Tammy,0,No,None,0,50,Trench,,2,3,Yes,"No shots made",2026-04-10T15:15:45.529Z
4,5980,Blue,Tammy,0,Yes,None,8,20,Bump,None,4,4,,"Great defense, great pick up, no accuracy",2026-04-10T15:25:35.652Z
5,7221,,Tammy,0,No,None,0,50,Bump,,0,0,No,"No shots made. Bot may have died on field",2026-04-10T15:32:52.601Z
6,6081,Red,Tammy,0,,,32,70,Both,None,3,4,,"Scored 151 by them self",2026-04-10T15:43:51.580Z
7,8423,Blue,Tammy,8,Yes,,6,50,Both,,2,2,No,"",2026-04-10T15:51:40.559Z
8,2771,Red,Tammy,0,Yes,None,16,70,Both,,4,3,Yes,"",2026-04-10T16:00:21.180Z
9,7809,Blue,Tammy,0,No,None,2,65,,,4,4,Yes,"Support",2026-04-10T16:07:40.988Z
10,9638,Blue,Tammy,0,Yes,None,0,50,,,3,3,Yes,"Support bot",2026-04-10T16:17:18.461Z
11,7289,,Tammy,0,Yes,None,0,60,,,0,2,No,"Stuck on balls in corner",2026-04-10T16:24:43.193Z
12,7656,Blue,Tammy,24,Yes,,17,80,Both,None,4,4,Yes,"",2026-04-10T16:40:29.152Z
